Gene_ID,Uniprot_ID,Gene_symbol,Aproved_gene_name,ENS_Gene_id,Ortho_Age,Paralog_status,Haplosufficiency_Rank,Disease_Association,Family_Root,Family_ID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,control.category,Degree,Eccentricity,MDS,NeighborhoodConnectivity,Radiality,Stress,TopologicalCoefficient,VIP_type
7476,WNT7A_HUMAN,WNT7A,WNT7A,ENSG00000154764,435,Ohnolog,20.9,Recessive,Bilateria,19,2.95348708,7.16E-05,0.33858283,0.03870968,intermittent,31,6,FALSE,120.3548387,0.75581412,1106282,0.05404934,NA
7477,WNT7B_HUMAN,WNT7B,WNT7B,ENSG00000188064,615,Ohnolog,16.68,None,Bilateria,19,2.81572659,9.38E-06,0.35514812,0.19444444,intermittent,9,5,FALSE,622.5555556,0.77303418,100144,0.13570286,NA
7478,WNT8A_HUMAN,WNT8A,WNT8A,ENSG00000061492,615,Ohnolog,38.4,None,Bilateria,19,3.47263129,0,0.28796607,0,redundant,1,6,FALSE,333,0.69092109,0,0,NA
7479,WNT8B_HUMAN,WNT8B,WNT8B,ENSG00000075290,435,Ohnolog,12.46,None,Bilateria,19,3.43917755,0,0.29076719,0,intermittent,1,6,FALSE,224,0.69510281,0,0,NA
7480,WN10B_HUMAN,WNT10B,WNT10B,ENSG00000169884,435,Ohnolog,7.24,None,Bilateria,19,3.30208391,8.00E-07,0.30283906,0,intermittent,7,6,FALSE,57.57142857,0.71223951,7338,0.15005684,NA
7481,WNT11_HUMAN,WNT11,WNT11,ENSG00000085741,615,SSD,2.74,None,Bilateria,19,3.05156988,4.03E-06,0.32770018,0.03571429,intermittent,8,6,FALSE,260.375,0.74355376,57328,0.14033784,NA
7482,WNT2B_HUMAN,WNT2B,WNT2B,ENSG00000134245,176,Ohnolog,4.51,Recessive,Bilateria,19,3.073187,1.00E-07,0.3253951,0.66666667,intermittent,3,6,FALSE,684.3333333,0.74085163,10430,0.38103192,NA
7484,WNT9B_HUMAN,WNT9B,WNT9B,ENSG00000158955,435,Ohnolog,34.84,None,Bilateria,19,3.13381495,5.10E-07,0.31909989,0.06666667,intermittent,6,6,FALSE,151.8333333,0.73327313,6178,0.18082137,NA
7485,WRB_HUMAN,GET1,GET1,ENSG00000182093,435,SSD,NA,None,Euteleostomi,7298,3.26179494,5.35E-06,0.30657966,0.00952381,intermittent,15,6,FALSE,49.6,0.71727563,39468,0.07747748,NA
7486,WRN_HUMAN,WRN,WRN,ENSG00000165392,435,SSD,17.41,None,LECA,44,2.70614059,1.36E-05,0.36952995,0.22850679,intermittent,52,5,FALSE,310.6730769,0.78673243,326802,0.05296988,Multi
7490,WT1_HUMAN,WT1,WT1,ENSG00000184937,615,SSD,1.09,None,LECA,4076,2.77082523,9.81E-05,0.36090331,0.05069124,intermittent,63,6,FALSE,167.7777778,0.77864685,1395884,0.03434326,NA
7494,XBP1_HUMAN,XBP1,XBP1,ENSG00000100219,105,Singleton,15.81,None,Singleton,0,2.78393998,4.29E-05,0.35920315,0.10931174,intermittent,39,5,FALSE,244.0512821,0.7770075,606100,0.05275153,DNA
7495,NA,XBP1P1,XBP1P1,ENSG00000249947,NA,Singleton,NA,None,Singleton,0,3.32409003,8.00E-08,0.30083421,0.16666667,intermittent,4,6,FALSE,99.75,0.70948875,1630,0.27493075,NA
7498,XDH_HUMAN,XDH,XDH,ENSG00000158125,796,SSD,44.11,Recessive,Chordata,6063,3.05068074,3.48E-06,0.32779569,0.07142857,intermittent,8,6,FALSE,197.375,0.74366491,35332,0.13624567,NA
7503,NA,XIST,XIST,ENSG00000229807,NA,Singleton,NA,None,Singleton,0,3.06373993,1.00E-08,0.32639846,0.46666667,intermittent,6,6,FALSE,435.1666667,0.74203251,722,0.26294058,NA
7504,XK_HUMAN,XK,XK,ENSG00000047597,615,SSD,42.78,None,Gnathostomata,512,2.96649069,1.08E-05,0.33709865,0.06666667,intermittent,10,6,FALSE,287.8,0.75418866,92912,0.11118421,NA
7507,XPA_HUMAN,XPA,XPA,ENSG00000136936,796,Singleton,25.19,None,Singleton,0,2.84401223,1.66E-05,0.35161593,0.17815126,intermittent,35,6,FALSE,208.0857143,0.76949847,277882,0.05385156,Multi
7508,XPC_HUMAN,XPC,XPC,ENSG00000154767,615,Singleton,63.33,Recessive,Singleton,0,2.63462073,6.59E-05,0.37956127,0.21794872,intermittent,105,5,FALSE,290.5238095,0.79567241,1467328,0.04156191,DNA
7511,XPP1_HUMAN,XPNPEP1,XPNPEP1,ENSG00000108039,796,SSD,14.64,None,Opisthokonta,2831,2.68891359,3.48E-05,0.37189741,0.11919192,intermittent,45,5,FALSE,264.8666667,0.7888858,560926,0.04211512,NA
7512,XPP2_HUMAN,XPNPEP2,XPNPEP2,ENSG00000122121,615,SSD,59,None,Opisthokonta,2831,3.49613782,0,0.28602991,0,redundant,1,6,FALSE,281,0.68798277,0,0,NA
7514,XPO1_HUMAN,XPO1,XPO1,ENSG00000082898,796,SSD,7.74,None,Opisthokonta,1316,2.17738261,0.01286318,0.45926701,0.02163295,intermittent,1217,5,FALSE,116.3623665,0.85282717,152184160,0.00850582,Multi
7515,XRCC1_HUMAN,XRCC1,XRCC1,ENSG00000073050,796,SSD,43.33,None,Vertebrata,1003,2.62578494,6.30E-05,0.3808385,0.12140351,intermittent,76,5,FALSE,284.7368421,0.79677688,1061666,0.03969387,DNA
7516,XRCC2_HUMAN,XRCC2,XRCC2,ENSG00000196584,615,SSD,58.1,None,LECA,567,2.97104751,1.41E-05,0.33658163,0.16666667,intermittent,16,5,FALSE,174.75,0.75361906,122118,0.06883629,NA
7517,XRCC3_HUMAN,XRCC3,XRCC3,ENSG00000126215,796,SSD,73.92,None,LECA,567,2.56832453,0.000376,0.38935889,0.02544441,intermittent,152,5,FALSE,132.1118421,0.80395943,4927200,0.01647776,NA
7518,XRCC4_HUMAN,XRCC4,XRCC4,ENSG00000152422,413,Singleton,25.84,None,Singleton,0,2.78471798,8.05E-05,0.35910279,0.09343201,intermittent,47,5,FALSE,210.2340426,0.77691025,1071558,0.04525345,DNA
7520,XRCC5_HUMAN,XRCC5,XRCC5,ENSG00000079246,615,SSD,38.75,None,LECA,1206,2.31831064,0.000794,0.43134858,0.10739739,intermittent,313,5,FALSE,289.6357828,0.83521117,16283282,0.0239022,Multi
7525,YES_HUMAN,YES1,YES1,ENSG00000176105,615,Ohnolog,5.24,None,LECA,5,2.52570158,0.000294,0.39592959,0.06128959,intermittent,133,5,FALSE,202.3533835,0.8092873,4341026,0.02326287,Multi
7527,NA,,,NA,NA,NA,NA,NA,NA,NA,3.26140595,3.00E-08,0.30661623,0.16666667,intermittent,4,6,FALSE,127.75,0.71732426,668,0.28986333,NA
7528,TYY1_HUMAN,YY1,YY1,ENSG00000100811,796,Ohnolog,4.22,None,LECA,1951,2.39611003,0.000359,0.4173431,0.15027089,intermittent,168,5,FALSE,300.6607143,0.82548625,6763824,0.02753085,RNA
7529,1433B_HUMAN,YWHAB,YWHAB,ENSG00000166913,796,Ohnolog,6.23,None,LECA,2931,2.2702973,0.0023306,0.44047095,0.05782726,critical,456,5,TRUE,191.6666667,0.84121284,34891034,0.01498564,Multi
7531,1433E_HUMAN,YWHAE,YWHAE,ENSG00000108953,796,SSD,1.8,None,LECA,2931,2.25123645,0.00327502,0.44420034,0.06960049,intermittent,538,5,FALSE,215.767658,0.84359544,51741110,0.01654178,Multi
7532,1433G_HUMAN,YWHAG,YWHAG,ENSG00000170027,615,Ohnolog,11.66,None,LECA,2931,2.27552098,0.00231059,0.4394598,0.05970526,intermittent,504,5,FALSE,189.5,0.84055988,36387958,0.01496746,Multi
7533,1433F_HUMAN,YWHAH,YWHAH,ENSG00000128245,351,Ohnolog,17.36,None,LECA,2931,2.39727702,0.00089,0.41713994,0.06104518,intermittent,303,5,FALSE,181.3465347,0.82534037,13745486,0.0168896,Multi
7534,1433Z_HUMAN,YWHAZ,YWHAZ,ENSG00000164924,796,Ohnolog,2.12,None,LECA,2931,2.1503751,0.00595479,0.46503515,0.06563828,intermittent,864,5,FALSE,196.9178241,0.85620311,93266960,0.01357164,Multi
7535,ZAP70_HUMAN,ZAP70,ZAP70,ENSG00000115085,351,Ohnolog,47.32,Recessive,LECA,5,2.68546819,0.000249,0.37237455,0.163147,intermittent,70,6,FALSE,189.6142857,0.78931648,3585590,0.03058392,Multi
7536,SF01_HUMAN,SF1,SF1,ENSG00000168066,796,SSD,10.49,None,LECA,3257,2.49030286,0.000343,0.40155758,0.10667394,intermittent,235,5,FALSE,220.5617021,0.81371214,6271680,0.02391016,Multi
7538,TTP_HUMAN,ZFP36,ZFP36,ENSG00000128016,351,Ohnolog,65.3,None,Opisthokonta,4755,2.65423729,0.000106,0.37675607,0.06874717,intermittent,67,6,FALSE,215.1343284,0.79322034,1388854,0.03186129,RNA
7539,ZFP37_HUMAN,ZFP37,ZFP37,ENSG00000136866,105,SSD,72.14,None,LECA,325,3.08252292,4.00E-08,0.32440959,0.66666667,intermittent,3,6,FALSE,578.3333333,0.73968463,1110,0.35655569,NA
7541,"ZF161_HUMAN,ZBT14_HUMAN",ZBTB14,ZBTB14,ENSG00000198081,615,SSD,28.98,None,LECA,617,2.76193387,5.42E-05,0.36206515,0.03607771,intermittent,47,5,FALSE,181.893617,0.77975827,733164,0.03606246,NA
7542,ZFPL1_HUMAN,ZFPL1,ZFPL1,ENSG00000162300,796,Singleton,48.36,None,Singleton,0,2.78560711,1.78E-05,0.35898817,0.07,intermittent,25,5,FALSE,279.12,0.77679911,317742,0.0567855,DNA
7543,ZFX_HUMAN,ZFX,ZFX,ENSG00000005889,413,SSD,7.61,None,LECA,95,2.88791331,4.36E-06,0.34627078,0.06666667,intermittent,6,6,FALSE,736.3333333,0.76401084,51718,0.1950853,NA
7544,ZFY_HUMAN,ZFY,ZFY,ENSG00000067646,413,SSD,59.24,None,LECA,95,3.19010836,5.70E-07,0.31346898,0.06666667,intermittent,6,6,FALSE,166.3333333,0.72623645,6950,0.17987695,NA
7545,ZIC1_HUMAN,ZIC1,ZIC1,ENSG00000152977,615,Ohnolog,7.94,Dominant,LECA,491,3.08368991,2.16E-05,0.32428682,0.00845666,intermittent,44,6,FALSE,39.52272727,0.73953876,362810,0.04132012,NA
7546,ZIC2_HUMAN,ZIC2,ZIC2,ENSG00000043355,311,Ohnolog,6.3,None,LECA,491,2.8197277,1.78E-05,0.35464417,0.15238095,intermittent,15,6,FALSE,414.5333333,0.77253404,207866,0.09529285,NA
7547,ZIC3_HUMAN,ZIC3,ZIC3,ENSG00000156925,435,Ohnolog,4.79,None,LECA,491,2.93325924,7.10E-07,0.3409177,0.16666667,intermittent,9,5,FALSE,448.4444444,0.7583426,35968,0.1562137,NA
7549,ZNF2_HUMAN,ZNF2,ZNF2,ENSG00000275111,105,SSD,73.31,None,LECA,89,2.83206446,3.11E-05,0.35309931,0.10882801,intermittent,73,6,FALSE,122.7123288,0.77099194,397644,0.03054982,NA
7551,ZNF3_HUMAN,ZNF3,ZNF3,ENSG00000166526,158,SSD,53.07,None,LECA,89,3.00672409,4.87E-06,0.33258788,0.03636364,intermittent,11,5,FALSE,198.5454546,0.74915949,72978,0.10249647,NA
7552,ZN711_HUMAN,ZNF711,ZNF711,ENSG00000147180,435,SSD,30.43,None,LECA,95,2.90552931,8.60E-07,0.34417137,0.11111111,intermittent,9,5,FALSE,508.7777778,0.76180884,28332,0.15639632,NA
7553,ZNF7_HUMAN,ZNF7,ZNF7,ENSG00000147789,73,SSD,83.67,None,LECA,89,2.98638511,9.40E-07,0.334853,0.04444444,intermittent,10,6,FALSE,244.3,0.75170186,18102,0.12088294,NA
7554,ZNF8_HUMAN,ZNF8,ZNF8,ENSG00000278129,105,SSD,86,None,LECA,95,2.91725479,1.35E-05,0.34278802,0.0942029,intermittent,24,6,FALSE,185.375,0.76034315,196680,0.06345671,NA
7555,CNBP_HUMAN,CNBP,CNBP,ENSG00000169714,796,SSD,10.92,Dominant,LECA,5151,2.62261739,0.00012,0.38129847,0.17330581,intermittent,171,6,FALSE,227.3508772,0.79717283,2540398,0.03193699,Multi
7556,ZNF10_HUMAN,ZNF10,ZNF10,ENSG00000256223,105,SSD,81.58,None,LECA,325,3.19266463,1.10E-07,0.31321799,0.5,intermittent,4,6,FALSE,199,0.72591692,1830,0.29887218,NA
7559,ZNF12_HUMAN,ZNF12,ZNF12,ENSG00000164631,105,SSD,73.57,None,LECA,89,3.0595721,2.80E-06,0.32684309,0,intermittent,3,6,FALSE,719,0.74255349,21420,0.36317653,NA
7561,ZNF14_HUMAN,ZNF14,ZNF14,ENSG00000105708,615,SSD,95.48,None,LECA,2582,3.1250903,7.00E-08,0.31999075,0,redundant,2,6,FALSE,785,0.73436371,5430,0.54482279,NA
7562,ZN708_HUMAN,ZNF708,ZNF708,ENSG00000182141,29,SSD,96.04,None,LECA,89,2.91464296,5.50E-07,0.3430952,0.7,intermittent,5,5,FALSE,767.4,0.76066963,24162,0.2448628,NA
7564,ZNF16_HUMAN,ZNF16,ZNF16,ENSG00000170631,158,SSD,85.57,None,LECA,89,2.76354543,9.27E-05,0.36185401,0.04267425,intermittent,38,5,FALSE,221.0789474,0.77955682,1091008,0.04397852,NA
7565,ZNF17_HUMAN,ZNF17,ZNF17,ENSG00000186272,67,SSD,96.62,None,LECA,254,3.6201167,0,0.27623419,0,intermittent,1,6,FALSE,125,0.67248541,0,0,NA
7566,ZNF18_HUMAN,ZNF18,ZNF18,ENSG00000154957,158,SSD,73.43,None,LECA,1339,3.28785774,6.30E-07,0.30414941,0.19444444,intermittent,9,6,FALSE,48.33333333,0.71401778,7520,0.13643558,NA
7567,ZNF19_HUMAN,ZNF19,ZNF19,ENSG00000157429,105,SSD,83.7,None,LECA,325,3.26807447,2.00E-08,0.30599058,0,intermittent,2,6,FALSE,229,0.71649069,546,0.52777778,NA
7568,ZNF20_HUMAN,ZNF20,ZNF20,ENSG00000132010,43,SSD,94.6,None,LECA,325,3.0201167,1.98E-05,0.33111303,0.08695652,intermittent,23,6,FALSE,160.2608696,0.74748541,309110,0.07951547,NA
7569,ZN182_HUMAN,ZNF182,ZNF182,ENSG00000147118,105,SSD,65.34,None,LECA,89,3.14165046,0,0.31830403,0,redundant,1,6,FALSE,1116,0.73229369,0,0,NA
7570,ZNF22_HUMAN,ZNF22,ZNF22,ENSG00000165512,158,SSD,55.07,None,LECA,3892,2.70769658,3.33E-05,0.3693176,0.20672269,intermittent,35,5,FALSE,324.2285714,0.78653793,451042,0.05391598,NA
7571,ZNF23_HUMAN,ZNF23,ZNF23,ENSG00000167377,105,SSD,71.05,None,LECA,89,2.88635732,6.85E-06,0.34645745,0.05454545,intermittent,11,6,FALSE,370.9090909,0.76420533,126836,0.10056031,NA
7572,ZNF24_HUMAN,ZNF24,ZNF24,ENSG00000172466,158,SSD,46.44,None,LECA,109,2.56838011,0.000247,0.38935047,0.09018987,intermittent,80,5,FALSE,257.7875,0.80395249,2981816,0.03176454,DNA
7574,ZNF26_HUMAN,ZNF26,ZNF26,ENSG00000198393,105,SSD,80.58,None,LECA,89,3.28757988,4.20E-07,0.30417512,0.06666667,intermittent,6,6,FALSE,189.8333333,0.71405251,15238,0.23734839,NA
7576,ZNF28_HUMAN,ZNF28,ZNF28,ENSG00000198538,29,SSD,97.42,None,LECA,89,2.85634899,2.80E-07,0.35009728,0.2,intermittent,5,5,FALSE,999.4,0.76795638,24198,0.25111837,NA
7579,ZSC20_HUMAN,ZSCAN20,ZSCAN20,ENSG00000121903,176,SSD,62.49,None,LECA,95,2.99838844,0.000113,0.33351249,0.0613432,intermittent,62,6,FALSE,51.79032258,0.75020144,1532254,0.02965032,NA
7580,ZNF32_HUMAN,ZNF32,ZNF32,ENSG00000169740,105,SSD,45.08,None,LECA,89,3.05490414,8.48E-06,0.32734251,0.2,intermittent,10,6,FALSE,232.8,0.74313698,115298,0.137537,NA
7581,ZN33A_HUMAN,ZNF33A,ZNF33A,ENSG00000189180,105,SSD,86.74,None,LECA,89,3.00150042,1.35E-06,0.3331667,0,intermittent,6,5,FALSE,396.1666667,0.74981245,27768,0.17962121,NA
7582,ZN33B_HUMAN,ZNF33B,ZNF33B,ENSG00000196693,105,SSD,82.91,None,LECA,89,3.00978049,2.63E-06,0.33225014,0,intermittent,6,5,FALSE,391.6666667,0.74877744,35240,0.17854966,NA
7584,ZNF35_HUMAN,ZNF35,ZNF35,ENSG00000169981,105,SSD,83.26,None,LECA,325,2.89663795,5.10E-07,0.34522782,0.2,intermittent,5,6,FALSE,765.2,0.76292026,26140,0.22801788,NA
7586,ZKSC1_HUMAN,ZKSCAN1,ZKSCAN1,ENSG00000106261,158,SSD,51.93,None,LECA,109,2.66751876,5.75E-05,0.37488021,0.11742424,intermittent,33,5,FALSE,369.7575758,0.79156016,824646,0.0558947,NA
7587,ZN37A_HUMAN,ZNF37A,ZNF37A,ENSG00000075407,105,SSD,86.07,None,LECA,89,3.36387886,0,0.29727587,0,redundant,1,6,FALSE,338,0.70451514,0,0,RNA
7589,ZSC21_HUMAN,ZSCAN21,ZSCAN21,ENSG00000166529,105,SSD,68.73,None,LECA,109,2.84706863,2.84E-05,0.35123846,0.16,intermittent,25,6,FALSE,220.92,0.76911642,412074,0.05391941,DNA
7592,ZNF41_HUMAN,ZNF41,ZNF41,ENSG00000147124,105,SSD,72.46,None,LECA,89,3.27463184,6.10E-07,0.30537784,0,intermittent,4,6,FALSE,166.5,0.71567102,8364,0.25619195,NA
7593,MZF1_HUMAN,MZF1,MZF1,ENSG00000099326,105,SSD,74.62,None,LECA,89,3.00005557,4.07E-06,0.33332716,0.18181818,intermittent,12,6,FALSE,202.3333333,0.74999305,48354,0.09935267,NA
7596,ZNF45_HUMAN,ZNF45,ZNF45,ENSG00000124459,105,SSD,84.42,None,LECA,89,3.39838844,8.00E-08,0.29425712,0,intermittent,3,6,FALSE,138,0.70020144,1116,0.34683544,NA
7597,ZBT25_HUMAN,ZBTB25,ZBTB25,ENSG00000089775,351,SSD,27.4,None,LECA,617,2.87957766,2.85E-05,0.34727315,0.05,intermittent,25,5,FALSE,172.2,0.76505279,301748,0.05156062,Multi
7620,ZNF69_HUMAN,ZNF69,ZNF69,ENSG00000198429,43,SSD,96.2,None,LECA,325,3.15982217,4.40E-07,0.31647351,0,intermittent,3,6,FALSE,312,0.73002223,7260,0.3391494,NA
7621,ZNF70_HUMAN,ZNF70,ZNF70,ENSG00000187792,105,SSD,81.98,None,LECA,325,3.03995554,6.70E-07,0.32895218,0.19444444,intermittent,9,6,FALSE,264.8888889,0.74500556,11370,0.13981335,NA
7625,ZNF74_HUMAN,ZNF74,ZNF74,ENSG00000185252,105,SSD,86.28,None,LECA,89,3.06296193,2.80E-07,0.32648137,0,intermittent,4,6,FALSE,401.25,0.74212976,7518,0.28406671,RNA
7627,ZN75A_HUMAN,ZNF75A,ZNF75A,ENSG00000162086,105,SSD,61.6,None,LECA,109,3.04545707,6.30E-07,0.32835794,0,intermittent,2,6,FALSE,1127.5,0.74431787,4888,0.50133511,NA
7629,ZNF76_HUMAN,ZNF76,ZNF76,ENSG00000065029,311,Ohnolog,34.83,None,LECA,261,2.81811614,3.20E-05,0.35484698,0.1969697,intermittent,12,6,FALSE,588.25,0.77273548,390574,0.13218326,NA
7633,ZNF79_HUMAN,ZNF79,ZNF79,ENSG00000196152,105,SSD,67.59,None,LECA,95,3.34826341,1.10E-07,0.29866229,0,intermittent,3,6,FALSE,291.3333333,0.70646707,8546,0.39935809,NA
7634,ZNF80_HUMAN,ZNF80,ZNF80,ENSG00000174255,96,SSD,92.46,None,LECA,325,3.48691303,0,0.28678662,0,redundant,1,6,FALSE,276,0.68913587,0,0,NA
7637,ZNF84_HUMAN,ZNF84,ZNF84,ENSG00000198040,105,SSD,80.86,None,LECA,703,3.00911364,5.31E-06,0.33232377,0,intermittent,4,5,FALSE,590.25,0.74886079,84196,0.26992671,DNA
7638,ZN221_HUMAN,ZNF221,ZNF221,ENSG00000159905,73,SSD,94.9,None,LECA,89,3.12070019,4.13E-05,0.32044091,0,intermittent,4,6,FALSE,315,0.73491248,369166,0.25343019,NA
7639,ZNF85_HUMAN,ZNF85,ZNF85,ENSG00000105750,29,SSD,95.02,None,LECA,89,3.273187,1.30E-07,0.30551264,0,redundant,2,6,FALSE,265,0.71585163,1312,0.50094877,NA
7644,ZNF91_HUMAN,ZNF91,ZNF91,ENSG00000167232,0,SSD,97.72,None,LECA,703,2.89669353,2.71E-06,0.34522119,0.10714286,intermittent,8,6,FALSE,509.625,0.76291331,45684,0.15256967,NA
7652,ZNF99_HUMAN,ZNF99,ZNF99,ENSG00000213973,43,SSD,97.41,None,LECA,703,3.72392331,1.70E-07,0.26853399,0,intermittent,2,6,FALSE,67,0.65950959,640,0.5,NA
7673,ZN222_HUMAN,ZNF222,ZNF222,ENSG00000159885,43,SSD,96.4,None,LECA,254,3.56899139,0,0.28019121,0,intermittent,1,6,FALSE,84,0.67887608,0,0,NA
7675,ZN121_HUMAN,ZNF121,ZNF121,ENSG00000197961,73,SSD,96.68,None,LECA,89,3.00666852,1.69E-06,0.33259403,0.02857143,intermittent,15,6,FALSE,188.7333333,0.74916644,32404,0.09444444,NA
7678,ZN124_HUMAN,ZNF124,ZNF124,ENSG00000196418,43,SSD,92.57,None,LECA,325,2.85973882,1.61E-05,0.34968228,0.17316017,intermittent,22,6,FALSE,279.2272727,0.76753265,515970,0.07242291,NA
7681,MKRN3_HUMAN,MKRN3,MKRN3,ENSG00000179455,615,Ohnolog,87.91,None,LECA,1098,2.83617672,5.54E-05,0.35258734,0.12563291,intermittent,80,6,FALSE,105.15,0.77047791,742538,0.02745425,DNA
7682,MKRN4_HUMAN,MKRN4P,MKRN4P,ENSG00000238222,NA,Singleton,NA,None,Singleton,0,3.81133648,0,0.26237515,0,intermittent,1,6,FALSE,55,0.64858294,0,0,NA
7690,ZN131_HUMAN,ZNF131,ZNF131,ENSG00000172262,615,SSD,27.76,None,LECA,1339,2.67507641,0.000116,0.3738211,0.04667269,intermittent,82,5,FALSE,175.8414634,0.79061545,1484134,0.02754854,DNA
7692,ZN133_HUMAN,ZNF133,ZNF133,ENSG00000125846,105,SSD,75.68,None,LECA,325,2.82989719,9.24E-06,0.35336973,0.0952381,intermittent,22,5,FALSE,272.5454546,0.77126285,165868,0.06623629,NA
7694,ZN135_HUMAN,ZNF135,ZNF135,ENSG00000176293,105,SSD,82.78,None,LECA,89,3.11486524,1.10E-07,0.32104118,0.07142857,intermittent,8,6,FALSE,175.5,0.73564184,3402,0.18172378,NA
7695,ZN136_HUMAN,ZNF136,ZNF136,ENSG00000196646,73,SSD,93.36,None,LECA,254,3.18799667,1.60E-06,0.31367661,0,intermittent,8,6,FALSE,161.625,0.72650042,39968,0.160625,NA
7696,ZN137_HUMAN,ZNF137P,ZNF137P,ENSG00000123870,NA,Singleton,NA,None,Singleton,0,3.44906919,3.00E-08,0.2899333,0,intermittent,2,6,FALSE,116.5,0.69386635,572,0.50881057,NA
7697,ZN138_HUMAN,ZNF138,ZNF138,ENSG00000197008,43,SSD,95.54,None,LECA,89,3.08463462,1.56E-06,0.3241875,0.10714286,intermittent,8,5,FALSE,242.5,0.73942067,46358,0.16779279,NA
7699,ZN140_HUMAN,ZNF140,ZNF140,ENSG00000196387,105,SSD,80.61,None,LECA,89,3.06674076,1.50E-07,0.32607908,0.33333333,intermittent,4,6,FALSE,422.75,0.7416574,4420,0.28035833,NA
7700,ZN141_HUMAN,ZNF141,ZNF141,ENSG00000131127,43,SSD,89.36,Recessive,LECA,89,3.02495138,0,0.33058383,1,intermittent,3,6,FALSE,718,0.74688108,0,0.41695703,NA
7701,ZN142_HUMAN,ZNF142,ZNF142,ENSG00000115568,615,Ohnolog,58.75,Recessive,LECA,703,2.89952765,1.51E-06,0.34488376,0.03571429,intermittent,8,5,FALSE,537.125,0.76255904,45822,0.15973049,NA
7702,ZN143_HUMAN,ZNF143,ZNF143,ENSG00000166478,615,Ohnolog,17.26,None,LECA,261,2.89508197,7.91E-06,0.34541336,0.05833333,intermittent,16,5,FALSE,256.75,0.76311475,107028,0.07361071,NA
7703,PCGF2_HUMAN,PCGF2,PCGF2,ENSG00000277258,435,Ohnolog,37.74,None,LECA,3551,2.70558488,6.19E-05,0.36960585,0.13114754,intermittent,62,5,FALSE,199.1935484,0.78680189,802094,0.03379403,NA
7704,ZBT16_HUMAN,ZBTB16,ZBTB16,ENSG00000109906,351,SSD,1.18,None,LECA,261,2.56726869,0.000487,0.38951903,0.06858485,intermittent,131,5,FALSE,182.8549618,0.80409141,5934190,0.02286541,DNA
7705,OZF_HUMAN,ZNF146,ZNF146,ENSG00000167635,105,SSD,45.74,None,LECA,89,2.79083079,2.46E-05,0.35831624,0.06349206,intermittent,28,5,FALSE,268.3571429,0.77614615,377208,0.05675561,NA
7706,TRI25_HUMAN,TRIM25,TRIM25,ENSG00000121060,413,SSD,78.53,None,LECA,1247,2.02895249,0.06157542,0.49286516,0.0103941,critical,2307,5,TRUE,83.30862592,0.87138094,613886308,0.0055537,RNA
7707,ZN148_HUMAN,ZNF148,ZNF148,ENSG00000163848,351,SSD,10.08,Dominant,LECA,261,2.58949708,3.91E-05,0.38617537,0.13809524,intermittent,36,5,FALSE,459.0833333,0.80131286,678656,0.05823043,NA
7709,ZBT17_HUMAN,ZBTB17,ZBTB17,ENSG00000116809,615,SSD,34.63,None,LECA,254,2.71719922,3.02E-05,0.36802601,0.12375533,intermittent,38,5,FALSE,295.9210526,0.7853501,419744,0.0514906,RNA
7711,ZN155_HUMAN,ZNF155,ZNF155,ENSG00000204920,43,SSD,97.12,None,LECA,254,3.28519033,3.20E-07,0.30439637,0.3,intermittent,5,6,FALSE,205.4,0.71435121,10276,0.32385466,NA
7712,ZN157_HUMAN,ZNF157,ZNF157,ENSG00000147117,105,SSD,80.81,None,LECA,89,3.27896638,8.00E-08,0.30497415,0.42857143,intermittent,7,6,FALSE,163,0.7151292,1842,0.25446429,NA
7716,VEZF1_HUMAN,VEZF1,VEZF1,ENSG00000136451,435,SSD,5.55,None,LECA,261,2.80505696,1.35E-06,0.356499,0.2,intermittent,5,5,FALSE,1203.6,0.77436788,80942,0.25092805,NA
7718,ZN165_HUMAN,ZNF165,ZNF165,ENSG00000197279,96,SSD,85.11,None,LECA,109,2.99160878,8.02E-06,0.33426831,0.09090909,intermittent,23,6,FALSE,130.3043478,0.7510489,113844,0.06567852,NA
7726,TRI26_HUMAN,TRIM26,TRIM26,ENSG00000234127,158,SSD,62.11,None,LECA,1247,2.60989164,8.99E-05,0.38315767,0.06526807,intermittent,66,5,FALSE,269.9242424,0.79876355,1376484,0.03596566,DNA
7727,ZN174_HUMAN,ZNF174,ZNF174,ENSG00000103343,105,SSD,72.1,None,LECA,1339,2.96893582,1.70E-05,0.33682102,0.33333333,intermittent,19,6,FALSE,156.8421053,0.75388302,180006,0.06450076,NA
7728,ZN175_HUMAN,ZNF175,ZNF175,ENSG00000105497,96,SSD,89.51,None,LECA,89,3.21022506,1.56E-06,0.31150464,0.03571429,intermittent,8,6,FALSE,103.375,0.72372187,16308,0.13276197,NA
7730,ZN177_HUMAN,ZNF177,ZNF177,ENSG00000188629,96,SSD,89.56,None,LECA,325,3.26007224,1.80E-06,0.30674167,0,intermittent,4,6,FALSE,137.5,0.71749097,16104,0.25371747,NA
7732,RN112_HUMAN,RNF112,RNF112,ENSG00000128482,105,SSD,72.59,None,LECA,3775,3.33470408,0,0.29987668,0,redundant,1,6,FALSE,776,0.70816199,0,0,NA
