Gene_id,Gene_Name,Ortho_Age,Paralog_status,Haplosufficiency_Rank,PPI_connectivity,Disease_Association,Family_Root,Family_ID
ENSG00000115091,ACTR3,796,Ohnolog,16.88,3012,Unknown,LECA,1060
ENSG00000115107,STEAP3,615,SSD,55.4,736,Dominant,Vertebrata,2613
ENSG00000115109,EPB41L5,311,Ohnolog,50.86,938,Unknown,LECA,167
ENSG00000115112,TFCP2L1,615,Ohnolog,42.13,694,Unknown,Bilateria,1324
ENSG00000115128,SF3B6,796,Singleton,NA,1390,Unknown,Singleton,0
ENSG00000115129,TP53I3,435,SSD,70.39,832,Unknown,LECA,2738
ENSG00000115137,DNAJC27,615,SSD,34.15,2644,Unknown,LECA,471
ENSG00000115138,POMC,435,Singleton,1.14,4028,Both,Singleton,0
ENSG00000115145,STAM2,615,Ohnolog,25.17,1072,Unknown,LECA,1377
ENSG00000115155,OTOF,435,SSD,29.35,1078,Recessive,LECA,3527
ENSG00000115159,GPD2,796,Singleton,5.01,2224,Dominant,Singleton,0
ENSG00000115163,CENPA,435,SSD,69.79,3502,Unknown,LECA,3528
ENSG00000115165,CYTIP,615,Ohnolog,34.42,2194,Unknown,Gnathostomata,3529
ENSG00000115170,ACVR1,435,Ohnolog,3.27,2756,Dominant,LECA,2731
ENSG00000115183,TANC1,615,Ohnolog,9.07,2174,Unknown,LECA,1128
ENSG00000115194,SLC30A3,311,Ohnolog,45.99,996,Unknown,Opisthokonta,2342
ENSG00000115204,MPV17,796,SSD,32.77,912,Recessive,Opisthokonta,3533
ENSG00000115207,GTF3C2,351,Singleton,43.04,556,None,Singleton,0
ENSG00000115211,EIF2B4,796,SSD,34.65,1128,Recessive,LECA,446
ENSG00000115216,NRBP1,615,Ohnolog,9.8,560,Unknown,LECA,659
ENSG00000115221,ITGB6,796,Ohnolog,10.06,1686,Recessive,LECA,1314
ENSG00000115226,FNDC4,435,SSD,41.83,554,Unknown,Gnathostomata,3537
ENSG00000115232,ITGA4,435,Ohnolog,19.71,2070,Unknown,LECA,92
ENSG00000115233,PSMD14,796,SSD,0.98,3766,Unknown,LECA,3539
ENSG00000115234,SNX17,796,SSD,11.85,918,Unknown,LECA,3540
ENSG00000115239,ASB3,615,SSD,NA,2024,Unknown,Opisthokonta,98
ENSG00000115241,PPM1G,615,SSD,4.07,2658,Unknown,LECA,1790
ENSG00000115252,PDE1A,796,Ohnolog,23.57,1300,Unknown,LECA,783
ENSG00000115255,REEP6,615,Ohnolog,83.07,1652,Recessive,LECA,857
ENSG00000115257,PCSK4,435,SSD,80.09,1188,Unknown,LECA,1718
ENSG00000115263,GCG,615,Singleton,0.86,3672,None,Singleton,0
ENSG00000115266,APC2,43,Ohnolog,53.03,2056,Recessive,LECA,3546
ENSG00000115267,IFIH1,615,SSD,55.47,0,Dominant,Bilateria,2761
ENSG00000115268,RPS15,796,Singleton,54.49,3862,Unknown,Singleton,0
ENSG00000115271,GCA,615,SSD,33.9,800,Unknown,LECA,295
ENSG00000115274,INO80B,615,SSD,31.21,610,Unknown,LECA,3549
ENSG00000115275,MOGS,796,Singleton,44.31,0,Recessive,Singleton,0
ENSG00000115282,TTC31,311,SSD,78.4,1470,None,LECA,70
ENSG00000115286,NDUFS7,796,Singleton,69.79,1752,Recessive,Singleton,0
ENSG00000115289,PCGF1,615,SSD,24.56,844,Unknown,LECA,3551
ENSG00000115290,GRB14,435,Ohnolog,9.22,1166,Unknown,Bilateria,1145
ENSG00000115295,CLIP4,615,SSD,49.86,2468,None,LECA,2492
ENSG00000115297,TLX2,311,Ohnolog,52.77,744,Unknown,LECA,64
ENSG00000115306,SPTBN1,796,Ohnolog,2.63,2252,Unknown,LECA,595
ENSG00000115307,AUP1,796,Singleton,22.95,1168,Unknown,Singleton,0
ENSG00000115310,RTN4,413,Ohnolog,14.33,2500,Unknown,Bilateria,3556
ENSG00000115317,HTRA2,796,Ohnolog,9.61,2164,Recessive,Bilateria,3557
ENSG00000115318,LOXL3,615,Ohnolog,43.61,498,Unknown,LECA,291
ENSG00000115325,DOK1,158,Ohnolog,61.92,794,Unknown,Bilateria,1994
ENSG00000115339,GALNT3,615,SSD,17.53,770,Recessive,LECA,1933
ENSG00000115350,POLE4,796,SSD,36.68,1380,Unknown,LECA,791
ENSG00000115353,TACR1,796,Ohnolog,18.86,1442,Unknown,Bilateria,1059
ENSG00000115355,CCDC88A,413,Ohnolog,19.33,746,Recessive,LECA,300
ENSG00000115361,ACADL,413,SSD,44.21,1204,Unknown,Opisthokonta,990
ENSG00000115363,EVA1A,615,SSD,56.98,624,None,Gnathostomata,3565
ENSG00000115364,MRPL19,796,Singleton,41.5,2034,Unknown,Singleton,0
ENSG00000115365,LANCL1,796,SSD,32.99,582,Unknown,LECA,3566
ENSG00000115368,WDR75,615,SSD,27.12,1442,None,LECA,144
ENSG00000115380,EFEMP1,615,Ohnolog,11.3,1702,Dominant,LECA,1159
ENSG00000115386,REG1A,105,SSD,91.34,944,Unknown,Bilateria,3569
ENSG00000115392,FANCL,615,Singleton,9.14,1042,Recessive,Singleton,0
ENSG00000115414,FN1,615,SSD,0.22,7968,Dominant,LECA,476
ENSG00000115415,STAT1,73,Ohnolog,1.02,4824,Both,Chordata,3571
ENSG00000115419,GLS,796,SSD,10.46,1718,Both,Vertebrata,3572
ENSG00000115421,PAPOLG,105,Ohnolog,23.11,1412,Unknown,LECA,1541
ENSG00000115423,DNAH6,796,SSD,52.39,1256,Unknown,LECA,146
ENSG00000115425,PECR,615,Singleton,54.9,1076,Unknown,Singleton,0
ENSG00000115446,UNC50,796,Singleton,49.33,594,Unknown,Singleton,0
ENSG00000115457,IGFBP2,435,Ohnolog,34.13,1650,Unknown,Chordata,3575
ENSG00000115459,ELMOD3,435,SSD,58.57,292,Recessive,LECA,688
ENSG00000115461,IGFBP5,615,Ohnolog,14.28,1882,Unknown,Chordata,3575
ENSG00000115464,USP34,413,SSD,12.35,1732,Unknown,LECA,438
ENSG00000115468,EFHD1,615,Ohnolog,51.54,944,Unknown,LECA,3579
ENSG00000115474,KCNJ13,615,SSD,17.85,586,Both,LECA,3580
ENSG00000115484,CCT4,796,SSD,5.4,3650,Unknown,LECA,3514
ENSG00000115486,GGCX,796,Singleton,28.17,532,Recessive,Singleton,0
ENSG00000115488,NEU2,615,SSD,85.32,540,Unknown,Vertebrata,3582
ENSG00000115504,EHBP1,615,Ohnolog,2.88,2224,Unknown,LECA,795
ENSG00000115507,OTX1,435,Ohnolog,7.55,1222,Unknown,LECA,52
ENSG00000115514,TXNDC9,796,SSD,14.44,2570,Unknown,LECA,3585
ENSG00000115520,COQ10B,615,Ohnolog,38.85,690,None,LECA,3586
ENSG00000115523,GNLY,67,Singleton,97.84,942,Unknown,Singleton,0
ENSG00000115524,SF3B1,796,Singleton,4.28,2930,Unknown,Singleton,0
ENSG00000115525,ST3GAL5,615,Ohnolog,63.29,754,Recessive,Chordata,192
ENSG00000115526,CHST10,615,SSD,57.15,676,Unknown,Bilateria,3588
ENSG00000115539,PDCL3,615,Ohnolog,57.41,852,Unknown,LECA,3585
ENSG00000115540,MOB4,796,SSD,4.45,900,Unknown,LECA,3509
ENSG00000115541,HSPE1,796,Singleton,9.58,3390,Unknown,Singleton,0
ENSG00000115548,KDM3A,435,Ohnolog,26.52,1090,Unknown,Bilateria,3591
ENSG00000115556,PLCD4,615,SSD,52.24,1166,None,LECA,2044
ENSG00000115561,CHMP3,796,SSD,22.49,0,Unknown,LECA,1344
ENSG00000115568,ZNF142,615,Ohnolog,58.75,580,Recessive,LECA,703
ENSG00000115590,IL1R2,435,SSD,84.23,1440,Unknown,Chordata,1527
ENSG00000115592,PRKAG3,615,Ohnolog,58.33,2544,Unknown,Vertebrata,2709
ENSG00000115593,SMYD1,615,Ohnolog,36.84,3692,Unknown,LECA,3597
ENSG00000115594,IL1R1,413,SSD,60.77,2278,Unknown,Chordata,1527
ENSG00000115596,WNT6,796,SSD,12.5,1608,Unknown,Bilateria,19
ENSG00000115598,IL1RL2,413,SSD,86.71,390,Unknown,Chordata,1527
ENSG00000115602,IL1RL1,435,SSD,89.91,1198,Unknown,Chordata,1527
ENSG00000115604,IL18R1,158,SSD,85.04,1336,Unknown,Chordata,1527
ENSG00000115607,IL18RAP,435,SSD,85.16,1300,Unknown,Chordata,1527
ENSG00000115616,SLC9A2,311,Ohnolog,44.73,1002,Unknown,LECA,780
ENSG00000115641,FHL2,615,Ohnolog,22.24,2568,Unknown,LECA,3255
ENSG00000115648,MLPH,413,SSD,85.56,636,Recessive,LECA,3606
ENSG00000115649,CNPPD1,615,Singleton,45.2,1160,None,Singleton,0
ENSG00000115652,UXS1,796,SSD,29.24,1010,Unknown,Opisthokonta,1474
ENSG00000115657,ABCB6,796,SSD,47.04,1282,None,LECA,51
ENSG00000115661,STK16,796,SSD,16.58,926,None,LECA,3609
ENSG00000115665,SLC5A7,615,SSD,35.67,1028,Both,Bilateria,1822
ENSG00000115677,HDLBP,435,SSD,30.54,1980,Unknown,LECA,3611
ENSG00000115685,PPP1R7,413,SSD,43.07,1804,Unknown,LECA,513
ENSG00000115687,PASK,351,Singleton,87.09,6400,Unknown,Singleton,0
ENSG00000115694,STK25,796,Ohnolog,40.39,1642,Unknown,LECA,104
ENSG00000115705,TPO,615,SSD,76.12,966,Recessive,LECA,80
ENSG00000115718,PROC,435,SSD,66.65,1112,Both,LECA,3615
ENSG00000115738,ID2,615,Ohnolog,0.68,2020,Dominant,Bilateria,3616
ENSG00000115750,TAF1B,435,Singleton,53.23,644,Unknown,Singleton,0
ENSG00000115756,HPCAL1,615,Ohnolog,26.18,2260,Unknown,LECA,423
ENSG00000115758,ODC1,796,Ohnolog,13.35,2390,Dominant,Vertebrata,3618
ENSG00000115760,BIRC6,796,SSD,13.58,4436,Unknown,LECA,358
ENSG00000115761,NOL10,796,Singleton,20.6,1412,Unknown,Singleton,0
ENSG00000115762,PLEKHB2,615,Ohnolog,52.9,294,Unknown,Gnathostomata,338
ENSG00000115806,GORASP2,796,Ohnolog,25.38,1196,None,LECA,3486
ENSG00000115808,STRN,796,Ohnolog,20.67,1322,Unknown,LECA,1549
ENSG00000115816,CEBPZ,796,Singleton,32.84,1812,Unknown,Singleton,0
ENSG00000115825,PRKD3,176,Ohnolog,7.89,628,Unknown,LECA,2495
ENSG00000115827,DCAF17,615,Singleton,18.95,396,Recessive,Singleton,0
ENSG00000115828,QPCT,796,Ohnolog,40.68,1096,Unknown,LECA,257
ENSG00000115839,RAB3GAP1,796,Singleton,27.47,1120,Recessive,Singleton,0
ENSG00000115840,SLC25A12,796,Ohnolog,9.53,1090,Recessive,LECA,53
ENSG00000115841,RMDN2,96,Ohnolog,62.58,232,Unknown,Singleton,0
ENSG00000115844,DLX2,413,Ohnolog,19.55,1548,Unknown,LECA,112
ENSG00000115850,LCT,615,SSD,10.47,1142,Recessive,LECA,3627
ENSG00000115866,DARS,796,SSD,5.36,2070,Recessive,LECA,759
ENSG00000115875,SRSF7,796,SSD,9.75,1992,Unknown,LECA,1937
ENSG00000115884,SDC1,435,Ohnolog,65.13,2536,Unknown,Bilateria,3630
ENSG00000115896,PLCL1,615,Ohnolog,27.49,1208,Unknown,LECA,2044
ENSG00000115902,SLC1A4,615,Ohnolog,39.21,848,Recessive,Bilateria,1205
ENSG00000115904,SOS1,435,Ohnolog,4.03,2594,Dominant,LECA,640
ENSG00000115919,KYNU,796,Singleton,41.86,1272,Recessive,Singleton,0
ENSG00000115935,WIPF1,615,SSD,56.87,1340,Unknown,Opisthokonta,3634
ENSG00000115942,ORC2,796,Singleton,17.07,2202,Unknown,Singleton,0
ENSG00000115944,COX7A2L,615,SSD,46.84,696,Unknown,Bilateria,3313
ENSG00000115946,PNO1,796,Singleton,10.95,2192,None,Singleton,0
ENSG00000115947,ORC4,796,Singleton,6.12,1176,Recessive,Singleton,0
ENSG00000115956,PLEK,176,Ohnolog,2.54,4146,Unknown,Vertebrata,1918
ENSG00000115963,RND3,615,Ohnolog,5.81,3868,Unknown,LECA,196
ENSG00000115966,ATF2,615,Ohnolog,2.01,1806,Unknown,Opisthokonta,3638
ENSG00000115970,THADA,413,Singleton,33.79,1326,Unknown,Singleton,0
ENSG00000115977,AAK1,413,Ohnolog,27.81,2408,Unknown,LECA,3609
ENSG00000115993,TRAK2,435,Ohnolog,35.99,726,Unknown,LECA,3640
ENSG00000115998,C2orf42,413,Singleton,NA,90,None,Singleton,0
ENSG00000116001,TIA1,413,Ohnolog,3.8,2828,Both,LECA,952
ENSG00000116005,PCYOX1,351,SSD,55.49,444,Unknown,Vertebrata,3642
ENSG00000116014,KISS1R,615,SSD,72.23,1052,Both,Bilateria,1310
ENSG00000116016,EPAS1,615,Ohnolog,13.31,2392,Unknown,Bilateria,1935
ENSG00000116017,ARID3A,435,Ohnolog,66.1,1594,Unknown,Bilateria,3645
ENSG00000116030,SUMO1,351,Singleton,1.1,6118,Unknown,Singleton,0
ENSG00000116031,CD207,105,SSD,86.68,1020,None,Bilateria,1564
ENSG00000116032,GRIN3B,435,SSD,80.29,896,Unknown,LECA,2530
ENSG00000116035,VAX2,435,SSD,47.75,662,Unknown,LECA,3648
ENSG00000116039,ATP6V1B1,311,Ohnolog,46.96,1552,Recessive,Opisthokonta,3099
ENSG00000116044,NFE2L2,413,Ohnolog,13.23,2040,Dominant,Vertebrata,554
ENSG00000116062,MSH6,796,SSD,6.24,3142,Both,LECA,628
ENSG00000116095,PLEKHA3,615,Ohnolog,42.65,434,Unknown,LECA,2648
ENSG00000116096,SPR,796,Singleton,58.91,778,Both,Singleton,0
ENSG00000116106,EPHA4,615,Ohnolog,1.13,3260,Unknown,LECA,386
ENSG00000116117,PARD3B,176,SSD,1.13,1820,None,LECA,3654
ENSG00000116120,FARSB,796,SSD,12.04,2016,Recessive,LECA,3655
ENSG00000116127,ALMS1,105,Ohnolog,78.65,1216,Recessive,Chordata,3656
ENSG00000116128,BCL9,413,SSD,19.22,1036,Unknown,Vertebrata,3657
ENSG00000116132,PRRX1,796,Ohnolog,4.95,1992,Both,LECA,52
ENSG00000116133,DHCR24,796,Singleton,8.14,1614,Recessive,Singleton,0
ENSG00000116138,DNAJC16,435,SSD,43.23,1066,None,LECA,165
ENSG00000116141,MARK1,311,Ohnolog,29.8,840,Unknown,LECA,141
ENSG00000116147,TNR,311,Ohnolog,5.9,1674,Unknown,LECA,476
ENSG00000116151,MORN1,435,SSD,85.9,320,None,LECA,3662
ENSG00000116157,GPX7,615,Ohnolog,40.47,1452,Unknown,LECA,3663
ENSG00000116161,CACYBP,615,Singleton,10.7,1580,Unknown,Singleton,0
ENSG00000116171,SCP2,796,SSD,31.23,1346,Recessive,LECA,3664
ENSG00000116176,TPSG1,105,SSD,90.62,416,Unknown,LECA,1691
ENSG00000116183,PAPPA2,615,Ohnolog,46.27,500,None,LECA,6
ENSG00000116191,RALGPS2,615,Ohnolog,16.1,1322,Unknown,LECA,640
ENSG00000116194,ANGPTL1,435,Ohnolog,29.39,884,Unknown,LECA,476
ENSG00000116198,CEP104,615,Singleton,75.85,486,Recessive,Singleton,0
ENSG00000116199,FAM20B,796,SSD,17.51,410,Unknown,Bilateria,2930
ENSG00000116205,TCEANC2,435,Singleton,28.78,1046,None,Singleton,0
ENSG00000116209,TMEM59,615,Ohnolog,32.4,442,Unknown,Gnathostomata,2576
ENSG00000116212,LRRC42,435,Singleton,32.23,18,None,Singleton,0
ENSG00000116213,WRAP73,615,Singleton,66.8,544,Unknown,Singleton,0
ENSG00000116218,NPHS2,615,SSD,43.66,1214,Recessive,LECA,828
ENSG00000116221,MRPL37,615,Singleton,51.13,706,Unknown,Singleton,0
ENSG00000116237,ICMT,796,Singleton,35.62,1168,Unknown,Singleton,0
ENSG00000116251,RPL22,615,Ohnolog,31.35,2430,Unknown,LECA,3672
ENSG00000116254,CHD5,351,Ohnolog,47.85,3504,Unknown,LECA,954
ENSG00000116260,QSOX1,615,Ohnolog,76.53,1070,Unknown,Bilateria,3674
ENSG00000116266,STXBP3,435,SSD,13.45,1406,None,LECA,1124
ENSG00000116273,PHF13,615,SSD,43.25,1224,None,Gnathostomata,468
ENSG00000116285,ERRFI1,435,Singleton,74.64,1050,Unknown,Singleton,0
ENSG00000116288,PARK7,796,Singleton,10.87,4844,Recessive,Singleton,0
ENSG00000116299,KIAA1324,615,Ohnolog,25.05,672,Unknown,LECA,3677
ENSG00000116329,OPRD1,615,Ohnolog,27.72,1962,Unknown,Bilateria,1310
ENSG00000116337,AMPD2,796,Ohnolog,38.6,1082,Recessive,LECA,3679
ENSG00000116350,SRSF4,796,Ohnolog,20.06,1922,Unknown,LECA,1937
ENSG00000116353,MECR,796,SSD,39.61,1526,Recessive,LECA,2738
ENSG00000116396,KCNC4,615,Ohnolog,33.01,1650,Unknown,LECA,380
ENSG00000116406,EDEM3,615,SSD,20.92,646,Unknown,LECA,1467
ENSG00000116455,WDR77,615,SSD,24,2642,Unknown,LECA,536
ENSG00000116459,ATP5PB,796,Singleton,NA,1932,Unknown,Singleton,0
ENSG00000116473,RAP1A,311,Ohnolog,3.22,3846,Unknown,LECA,114
ENSG00000116478,HDAC1,615,Ohnolog,0.32,8100,Unknown,LECA,522
ENSG00000116489,CAPZA1,615,SSD,11.68,1986,Unknown,LECA,3687
ENSG00000116497,S100PBP,105,Singleton,58.6,272,Unknown,Singleton,0
ENSG00000116514,RNF19B,413,Ohnolog,38.38,1184,Unknown,LECA,13
ENSG00000116521,SCAMP3,435,Ohnolog,40.29,726,Unknown,LECA,1373
ENSG00000116525,TRIM62,413,SSD,37.33,844,Unknown,LECA,1247
ENSG00000116539,ASH1L,311,SSD,23.94,3498,Dominant,LECA,610
ENSG00000116544,DLGAP3,615,Ohnolog,23.91,1880,None,Bilateria,1258
ENSG00000116560,SFPQ,796,Ohnolog,22.48,2246,Unknown,LECA,763
ENSG00000116574,RHOU,615,Ohnolog,59.19,3626,Unknown,LECA,196
ENSG00000116580,GON4L,105,SSD,66.06,396,Unknown,Simiiformes,3695
ENSG00000116584,ARHGEF2,435,Ohnolog,35.83,1620,Recessive,LECA,185
ENSG00000116586,LAMTOR2,796,Singleton,18.69,1288,Recessive,Singleton,0
ENSG00000116604,MEF2D,73,Ohnolog,11.77,3032,Unknown,LECA,850
ENSG00000116641,DOCK7,43,Ohnolog,28.59,1180,Recessive,LECA,1472
ENSG00000116649,SRM,796,SSD,42.31,1958,Unknown,LECA,2156
ENSG00000116661,FBXO2,311,SSD,63.55,1490,Unknown,Vertebrata,3700
ENSG00000116663,FBXO6,311,SSD,75.95,1158,Unknown,Vertebrata,3700
ENSG00000116667,C1orf21,351,Singleton,NA,140,None,Singleton,0
ENSG00000116668,SWT1,435,Singleton,66.01,606,None,Singleton,0
ENSG00000116670,MAD2L2,615,SSD,5.39,1228,Recessive,LECA,3702
ENSG00000116675,DNAJC6,413,Ohnolog,34.73,4192,Recessive,LECA,3703
ENSG00000116678,LEPR,435,SSD,18.82,1976,Recessive,Vertebrata,100
ENSG00000116679,IVNS1ABP,351,SSD,19.32,998,Unknown,LECA,24
ENSG00000116685,KIAA2013,615,Singleton,61.81,560,None,Singleton,0
ENSG00000116688,MFN2,796,Ohnolog,12.08,2818,Both,Vertebrata,3706
ENSG00000116690,PRG4,351,SSD,84.91,596,Recessive,Vertebrata,2941
ENSG00000116691,MIIP,311,Singleton,88.63,166,Unknown,Singleton,0
ENSG00000116698,SMG7,351,SSD,15.29,1194,Unknown,Bilateria,3708
ENSG00000116701,NCF2,615,Ohnolog,43.31,2444,Recessive,LECA,3709
ENSG00000116703,PDC,435,Ohnolog,38.71,760,Unknown,LECA,3585
ENSG00000116704,SLC35D1,615,Ohnolog,22.91,932,Recessive,LECA,1237
ENSG00000116711,PLA2G4A,615,SSD,12.82,2118,Recessive,LECA,2537
ENSG00000116717,GADD45A,796,SSD,1.69,2522,Unknown,LECA,1756
ENSG00000116721,PRAMEF1,43,SSD,98.53,188,None,Vertebrata,3714
ENSG00000116726,PRAMEF12,96,SSD,99.34,260,None,Vertebrata,3714
ENSG00000116729,WLS,796,Singleton,26.07,1056,Unknown,Singleton,0
ENSG00000116731,PRDM2,435,SSD,40.49,1072,Unknown,LECA,254
ENSG00000116741,RGS2,435,Ohnolog,9.01,1686,Unknown,LECA,1107
ENSG00000116745,RPE65,615,SSD,17.78,1110,Recessive,Bilateria,3718
ENSG00000116747,RO60,796,Singleton,NA,834,Unknown,Singleton,0
ENSG00000116748,AMPD1,615,Ohnolog,34.75,1264,Recessive,LECA,3679
ENSG00000116750,UCHL5,796,SSD,5.6,2540,Unknown,Opisthokonta,3720
ENSG00000116752,BCAS2,796,Singleton,12.6,2070,Unknown,Singleton,0
ENSG00000116754,SRSF11,796,Ohnolog,11.85,1638,Unknown,LECA,3721
ENSG00000116761,CTH,796,Singleton,52.82,1960,Recessive,Singleton,0
ENSG00000116771,AGMAT,435,SSD,51.91,1246,Unknown,Bilateria,1271
ENSG00000116774,OLFML3,435,SSD,36.14,938,Unknown,LECA,426
ENSG00000116783,TNNI3K,796,SSD,17.73,1918,Dominant,LECA,113
ENSG00000116785,CFHR3,0,SSD,98.26,372,Both,LECA,6
ENSG00000116786,PLEKHM2,615,SSD,41.27,286,Unknown,LECA,319
ENSG00000116791,CRYZ,796,SSD,46.66,1528,Unknown,LECA,2738
ENSG00000116793,PHTF1,796,SSD,35.68,418,Unknown,Vertebrata,120
ENSG00000116809,ZBTB17,615,SSD,34.63,928,Unknown,LECA,254
ENSG00000116815,CD58,96,Singleton,99.7,1178,Unknown,Singleton,0
ENSG00000116819,TFAP2E,796,Ohnolog,40.17,604,Unknown,Vertebrata,176
ENSG00000116824,CD2,105,SSD,96.99,2272,Unknown,Gnathostomata,382
ENSG00000116830,TTF2,796,SSD,52.74,2220,Unknown,LECA,954
ENSG00000116833,NR5A2,615,Ohnolog,11.82,1782,Unknown,Vertebrata,3733
ENSG00000116852,KIF21B,413,SSD,38.29,1946,Unknown,LECA,592
ENSG00000116857,TMEM9,796,Ohnolog,52.23,330,Unknown,Vertebrata,3735
ENSG00000116863,ADPRHL2,615,Singleton,36.3,528,Recessive,Singleton,0
ENSG00000116871,MAP7D1,351,SSD,43.16,642,None,LECA,3736
ENSG00000116874,WARS2,796,SSD,37.49,1504,Recessive,Opisthokonta,3737
ENSG00000116882,HAO2,796,SSD,70.2,1718,Unknown,Chordata,2041
ENSG00000116885,OSCP1,615,Singleton,41.55,354,Unknown,Singleton,0
ENSG00000116898,MRPS15,615,Singleton,54.16,2406,Unknown,Singleton,0
ENSG00000116903,EXOC8,796,Singleton,44.12,1434,Unknown,Singleton,0
ENSG00000116906,GNPAT,796,SSD,57.89,880,Recessive,Bilateria,3739
ENSG00000116918,TSNAX,796,SSD,18.29,982,Unknown,Bilateria,3740
ENSG00000116922,C1orf109,615,Singleton,NA,308,Unknown,Singleton,0
ENSG00000116954,RRAGC,796,Ohnolog,12.26,1064,Unknown,LECA,368
ENSG00000116962,NID1,615,Ohnolog,34.2,1820,Unknown,LECA,898
ENSG00000116977,LGALS8,435,Ohnolog,68.01,774,Unknown,LECA,128
ENSG00000116981,NT5C1A,615,Ohnolog,15.94,778,Unknown,LECA,3744
ENSG00000116983,HPCAL4,351,Ohnolog,33,3414,None,LECA,423
ENSG00000116984,MTR,796,SSD,8.44,1116,Recessive,Opisthokonta,3746
ENSG00000116985,BMP8B,435,Ohnolog,64.83,1052,Unknown,Bilateria,1646
ENSG00000116990,MYCL,435,Ohnolog,22.66,1122,Unknown,Chordata,3748
ENSG00000116991,SIPA1L2,158,Ohnolog,55.18,922,Unknown,LECA,1121
ENSG00000116996,ZP4,311,SSD,89.02,610,Unknown,Chordata,2279
ENSG00000117000,RLF,435,SSD,20.79,510,Unknown,LECA,3751
ENSG00000117009,KMO,796,SSD,48.77,1902,Unknown,LECA,3752
ENSG00000117010,ZNF684,105,SSD,81.5,294,None,LECA,325
ENSG00000117013,KCNQ4,311,Ohnolog,23.29,1624,Dominant,LECA,380
ENSG00000117016,RIMS3,158,Ohnolog,29.46,1572,Unknown,LECA,1229
ENSG00000117020,AKT3,311,Ohnolog,2.71,3846,Dominant,LECA,772
ENSG00000117036,ETV3,615,SSD,21.33,864,Unknown,Bilateria,117
ENSG00000117054,ACADM,615,SSD,29.48,2116,Recessive,Opisthokonta,990
ENSG00000117069,ST6GALNAC5,435,Ohnolog,11.64,870,Unknown,Chordata,192
ENSG00000117090,SLAMF1,105,SSD,84.76,2048,Unknown,Gnathostomata,382
ENSG00000117091,CD48,105,SSD,97.45,1834,Unknown,Gnathostomata,382
ENSG00000117114,ADGRL2,615,Ohnolog,0.57,1468,Unknown,LECA,57
ENSG00000117115,PADI2,435,SSD,38.27,668,Unknown,Tetrapoda,3763
ENSG00000117118,SDHB,105,Singleton,11.22,3674,Dominant,Singleton,0
ENSG00000117122,MFAP2,615,SSD,55.56,648,Unknown,Gnathostomata,3764
ENSG00000117133,RPF1,796,SSD,15.33,1912,None,LECA,3765
ENSG00000117139,KDM5B,435,SSD,28,4414,Recessive,LECA,172
ENSG00000117143,UAP1,796,Ohnolog,42.15,1566,Unknown,LECA,3767
ENSG00000117148,ACTL8,73,SSD,91.23,2036,None,LECA,1060
ENSG00000117151,CTBS,176,SSD,61.18,644,Unknown,LECA,736
ENSG00000117152,RGS4,413,Ohnolog,27.02,2288,Unknown,LECA,1107
ENSG00000117153,KLHL12,615,SSD,31.84,760,Unknown,LECA,24
ENSG00000117154,IGSF21,615,SSD,36.82,1416,None,LECA,320
ENSG00000117155,SSX2IP,435,Singleton,34.32,724,None,Singleton,0
ENSG00000117174,ZNHIT6,435,Singleton,55,818,None,Singleton,0
ENSG00000117215,PLA2G2D,311,SSD,83.97,532,Unknown,Bilateria,889
ENSG00000117222,RBBP5,796,SSD,10.61,1800,Unknown,Opisthokonta,3774
ENSG00000117226,GBP3,96,SSD,86.5,630,Unknown,LECA,3775
ENSG00000117228,GBP1,435,SSD,73.42,1228,Unknown,LECA,3775
ENSG00000117245,KIF17,796,SSD,56.67,2292,Unknown,LECA,592
ENSG00000117262,GPR89A,796,SSD,49.11,472,Unknown,LECA,3778
ENSG00000117266,CDK18,311,Ohnolog,54.82,3702,Unknown,LECA,138
ENSG00000117280,RAB29,615,SSD,25.86,1018,Unknown,LECA,471
ENSG00000117281,CD160,105,Singleton,86.34,570,Unknown,Singleton,0
ENSG00000117298,ECE1,435,Ohnolog,15.12,1104,Dominant,Bilateria,2157
ENSG00000117305,HMGCL,615,Ohnolog,43.48,1594,Recessive,Opisthokonta,3782
ENSG00000117308,GALE,796,SSD,25.45,1844,Recessive,Opisthokonta,1474
ENSG00000117318,ID3,435,Ohnolog,6.54,1382,Dominant,Bilateria,3616
ENSG00000117322,CR2,105,SSD,71.93,1496,Recessive,LECA,6
ENSG00000117335,CD46,311,SSD,99.61,1256,Both,LECA,6
ENSG00000117360,PRPF3,796,Singleton,11.62,1936,Dominant,Singleton,0
ENSG00000117362,APH1A,796,Ohnolog,9.08,896,Unknown,LECA,3787
ENSG00000117385,P3H1,615,Ohnolog,48.37,654,Recessive,LECA,1557
ENSG00000117394,SLC2A1,615,Ohnolog,9.56,3628,Both,LECA,655
ENSG00000117395,EBNA1BP2,796,Singleton,31.72,2696,Unknown,Singleton,0
ENSG00000117399,CDC20,796,Ohnolog,3.78,4842,Unknown,LECA,2501
ENSG00000117400,MPL,311,SSD,17.07,982,Both,Gnathostomata,1137
ENSG00000117407,ARTN,615,SSD,75.22,614,Unknown,Vertebrata,3792
ENSG00000117408,IPO13,796,SSD,17.28,700,Unknown,LECA,720
ENSG00000117410,ATP6V0B,796,SSD,18.63,1078,Unknown,LECA,3794
